Time,Dubai Crude,Exchange Rate,Dubai Crude,Diesel Importer Cost,Diesel ETS Charge,Diesel GST,Diesel Taxes and Levies,"Diesel Price Excl Tax, Levies and ETS",Diesel Retail Price,Diesel Importer Margin,Regular Petrol Importer Cost,Regular Petrol ETS Charge,Regular Petrol GST,Regular Petrol Taxes and Levies,"Petrol price Excl Tax, Levies and ETS",Regular Petrol Retail Price,Regular Petrol Importer Margin,,,,,,,,,
12 February 2010,70.92,0.692,102.55,78.0,,12.3,12.7,98.2,110.9,20.2,81.3,,19.2,75.3,97.6,172.9,16.3,,,,,,,,,
19 February 2010,75.71,0.700,108.15,79.9,,12.3,12.7,98.2,110.9,18.3,83.1,,19.2,75.3,97.6,172.9,14.4,,,,,,,,,
26 February 2010,75.72,0.696,108.81,82.0,,12.3,12.7,98.2,110.9,16.2,85.3,,19.2,75.3,97.6,172.9,12.2,,,,,,,,,
5 March 2010,76.98,0.695,110.75,83.1,,12.4,12.8,98.7,111.5,15.6,86.5,,19.4,75.5,98.8,174.3,12.3,,,,,,,,,
12 March 2010,78.08,0.701,111.42,84.3,,12.7,13.1,101.1,114.2,16.8,88.1,,19.9,76.0,103.1,179.2,15.0,,,,,,,,,
19 March 2010,77.13,0.709,108.74,83.0,,12.9,13.3,102.6,115.9,19.7,86.5,,20.1,76.2,104.7,180.9,18.2,,,,,,,,,
26 March 2010,77.27,0.705,109.57,82.8,,12.9,13.3,102.6,115.9,19.8,85.5,,20.1,76.2,104.7,180.9,19.2,,,,,,,,,
2 April 2010,79.27,0.708,111.90,84.1,,12.9,13.3,102.6,115.9,18.5,86.0,,19.9,76.1,103.4,179.5,17.4,,,,,,,,,
9 April 2010,82.82,0.706,117.29,89.7,,13.0,13.3,103.4,116.8,13.7,88.9,,19.7,75.9,101.8,177.6,12.9,,,,,,,,,
16 April 2010,83.71,0.714,117.27,88.8,,13.2,13.6,105.3,118.9,16.6,87.4,,20.2,76.3,105.6,181.9,18.2,,,,,,,,,
23 April 2010,83.26,0.709,117.37,88.6,,13.2,13.6,105.3,118.9,16.7,87.0,,20.2,76.3,105.6,181.9,18.6,,,,,,,,,
30 April 2010,84.63,0.719,117.67,89.5,,13.4,13.7,106.5,120.2,16.9,87.5,,20.2,76.3,105.6,181.9,18.1,,,,,,,,,
7 May 2010,81.09,0.723,112.11,88.8,,13.5,13.9,108.0,121.9,19.2,84.9,,20.2,76.3,105.6,181.9,20.6,,,,,,,,,
14 May 2010,79.50,0.716,111.00,86.3,,13.5,13.9,108.0,121.9,21.7,81.6,,19.9,76.0,103.0,179.0,21.5,,,,,,,,,
21 May 2010,72.43,0.689,105.15,83.0,,13.4,13.8,107.0,120.8,23.9,80.0,,19.6,75.8,101.0,176.8,20.9,,,,,,,,,
28 May 2010,70.14,0.673,104.24,81.7,,13.2,13.6,105.2,118.8,23.5,78.4,,19.4,75.6,99.5,175.0,21.0,,,,,,,,,
4 June 2010,73.46,0.680,108.06,84.4,,12.9,13.3,102.6,115.9,18.2,81.0,,19.2,75.3,97.6,172.9,16.6,,,,,,,,,
11 June 2010,72.70,0.671,108.42,84.3,,12.9,13.3,102.6,115.9,18.3,81.6,,19.2,75.3,97.6,172.9,16.0,,,,,,,,,
18 June 2010,75.37,0.697,108.10,84.9,,12.9,13.3,102.6,115.9,17.7,81.4,,19.2,75.3,97.6,172.9,16.1,,,,,,,,,
25 June 2010,75.32,0.710,106.11,84.4,,13.0,13.3,103.4,116.8,19.1,80.0,,19.4,75.5,98.7,174.2,18.7,,,,,,,,,
2 July 2010,72.23,0.697,103.59,82.5,1.0,13.2,13.6,104.2,118.8,21.7,79.2,0.8,19.6,75.8,100.2,176.8,20.9,,,,,,,,,
9 July 2010,71.64,0.696,102.96,81.4,2.4,13.3,13.6,103.4,119.5,22.0,78.7,2.1,19.6,75.8,98.9,176.8,20.2,,,,,,,,,
16 July 2010,73.22,0.717,102.14,81.2,2.4,13.2,13.6,102.9,118.9,21.7,78.2,2.1,19.5,75.7,98.1,175.9,20.0,,,,,,,,,
23 July 2010,73.79,0.713,103.44,82.5,2.4,13.2,13.6,102.9,118.9,20.4,79.5,2.1,19.5,75.7,98.1,175.9,18.6,,,,,,,,,
30 July 2010,73.92,0.728,101.58,81.7,2.4,13.2,13.6,102.9,118.9,21.2,78.4,2.1,19.5,75.7,98.1,175.9,19.8,,,,,,,,,
6 August 2010,78.78,0.731,107.83,85.1,2.4,13.2,13.6,102.9,118.9,17.8,80.9,2.1,19.6,75.7,98.4,176.2,17.5,,,,,,,,,
13 August 2010,74.47,0.722,103.18,83.0,2.4,13.2,13.6,102.9,118.9,19.9,79.3,2.1,19.8,75.9,99.9,177.9,20.7,,,,,,,,,
20 August 2010,72.61,0.709,102.48,82.5,2.4,13.2,13.6,102.9,118.9,20.4,78.9,2.1,19.6,75.8,98.9,176.8,20.0,,,,,,,,,
27 August 2010,71.28,0.704,101.31,81.9,2.7,13.2,13.6,102.6,118.9,20.7,77.4,2.3,19.4,75.5,96.9,174.8,19.5,,,,,,,,,
3 September 2010,73.49,0.709,103.72,82.8,2.7,13.2,13.6,102.6,118.9,19.9,78.8,2.3,19.3,75.5,96.1,173.9,17.3,,,,,,,,,
10 September 2010,75.02,0.721,104.00,81.8,2.7,13.2,13.6,102.6,118.9,20.8,77.9,2.3,19.3,75.5,96.1,173.9,18.2,,,,,,,,,
17 September 2010,76.04,0.729,104.35,82.5,2.7,13.2,13.6,102.6,118.9,20.2,78.0,2.3,19.3,75.5,96.1,173.9,18.2,,,,,,,,,
24 September 2010,75.76,0.730,103.80,82.4,2.7,13.2,13.6,102.6,118.9,20.3,77.0,2.3,19.3,75.5,96.1,173.9,19.1,,,,,,,,,
1 October 2010,77.14,0.736,104.84,83.1,2.7,13.3,13.6,103.0,119.3,20.0,77.9,2.3,19.4,75.6,97.0,174.9,19.2,,,,,,,,,
8 October 2010,81.31,0.747,108.90,85.6,2.7,16.1,16.4,104.1,123.2,18.4,80.5,2.3,23.7,82.8,96.6,181.8,16.1,,,,,,,,,
15 October 2010,80.69,0.756,106.77,85.1,2.7,16.3,16.7,105.6,124.9,20.5,81.6,2.3,23.9,83.0,97.6,182.9,16.0,,,,,,,,,
22 October 2010,79.52,0.751,105.84,84.1,2.7,16.3,16.7,105.6,124.9,21.5,80.3,2.3,24.0,83.2,98.8,184.3,18.5,,,,,,,,,
29 October 2010,80.06,0.750,106.75,84.6,2.7,16.3,16.7,105.6,124.9,20.9,80.9,2.3,24.1,83.2,99.3,184.9,18.5,,,,,,,,,
5 November 2010,83.30,0.777,107.21,83.1,2.7,16.3,16.7,105.6,124.9,22.5,79.9,2.3,24.1,83.2,99.3,184.9,19.4,,,,,,,,,
12 November 2010,85.42,0.784,108.92,86.3,2.7,16.3,16.7,105.6,124.9,19.3,81.5,2.3,24.1,83.2,99.3,184.9,17.8,,,,,,,,,
19 November 2010,82.47,0.773,106.68,85.4,2.7,16.3,16.7,105.6,124.9,20.2,81.1,2.3,24.1,83.2,99.3,184.9,18.3,,,,,,,,,
26 November 2010,82.03,0.766,107.06,85.1,2.7,16.3,16.7,105.6,124.9,20.5,82.0,2.3,24.1,83.2,99.3,184.9,17.4,,,,,,,,,
3 December 2010,85.62,0.749,114.33,89.8,2.8,16.4,16.8,106.5,126.0,16.6,87.6,2.4,24.3,83.4,100.2,186.0,12.6,,,,,,,,,
10 December 2010,88.19,0.756,116.69,92.5,2.8,16.9,17.3,109.4,129.5,16.9,90.9,2.4,24.9,84.1,104.7,191.2,13.8,,,,,,,,,
17 December 2010,89.23,0.746,119.63,93.4,2.8,17.2,17.5,111.3,131.6,17.9,91.7,2.4,25.4,84.5,107.7,194.6,16.0,,,,,,,,,
24 December 2010,90.68,0.742,122.22,95.3,2.8,17.4,17.8,112.9,133.5,17.6,94.4,2.4,25.7,84.8,109.8,197.0,15.4,,,,,,,,,
31 December 2010,89.69,0.765,117.26,93.1,2.8,17.5,17.8,113.3,133.9,20.1,92.1,2.4,25.8,84.9,110.5,197.9,18.4,,,,,,,,,
7 January 2011,90.90,0.760,119.53,94.6,2.8,17.5,17.8,113.3,133.9,18.7,92.9,2.4,25.8,84.9,110.5,197.9,17.7,,,,,,,,,
14 January 2011,93.70,0.764,122.69,96.1,2.8,17.5,17.8,113.3,133.9,17.2,93.8,2.4,25.8,84.9,110.5,197.9,16.7,,,,,,,,,
21 January 2011,92.92,0.767,121.12,97.2,2.8,17.7,18.1,115.1,136.0,17.9,94.3,2.4,26.0,85.1,111.8,199.3,17.5,,,,,,,,,
28 January 2011,92.73,0.767,120.91,96.9,2.8,17.9,18.2,115.9,136.9,19.0,92.6,2.4,26.1,85.2,112.3,199.9,19.7,,,,,,,,,
4 February 2011,96.34,0.774,124.51,98.4,2.8,17.9,18.2,115.9,136.9,17.4,94.4,2.4,26.1,85.2,112.3,199.9,17.9,,,,,,,,,
11 February 2011,96.64,0.770,125.49,101.0,2.8,18.2,18.5,117.9,139.2,16.9,94.3,2.4,26.1,85.2,112.3,199.9,17.9,,,,,,,,,
18 February 2011,99.06,0.756,131.07,104.1,2.8,18.5,18.8,119.8,141.5,15.8,97.0,2.4,26.2,85.3,113.0,200.8,16.0,,,,,,,,,
25 February 2011,105.84,0.753,140.52,109.1,2.8,18.6,19.0,121.1,142.9,12.0,103.3,2.4,26.5,85.6,114.9,202.9,11.6,,,,,,,,,
4 March 2011,109.34,0.747,146.35,115.0,2.8,19.2,19.6,124.8,147.2,9.8,107.1,2.4,26.9,86.0,117.7,206.2,10.6,,,,,,,,,
11 March 2011,109.77,0.737,148.92,118.5,2.8,20.6,21.0,134.0,157.8,15.5,109.7,2.4,27.9,87.0,124.3,213.8,14.6,,,,,,,,,
18 March 2011,106.94,0.730,146.57,121.5,2.8,21.0,21.4,137.1,161.3,15.6,108.2,2.4,28.2,87.3,126.2,215.9,18.0,,,,,,,,,
25 March 2011,109.85,0.740,148.52,121.7,2.8,21.9,22.3,142.7,167.8,21.0,109.6,2.4,28.4,87.5,127.7,217.6,18.1,,,,,,,,,
1 April 2011,110.14,0.757,145.56,119.0,2.8,22.1,22.5,144.2,169.5,25.2,108.1,2.4,28.6,87.7,128.8,218.9,20.7,,,,,,,,,
8 April 2011,115.11,0.772,149.14,120.5,2.8,21.8,22.1,142.0,166.9,21.4,110.4,2.4,28.6,87.7,128.8,218.9,18.4,,,,,,,,,
15 April 2011,115.96,0.786,147.52,118.4,2.8,21.8,22.1,142.0,166.9,23.5,109.4,2.4,28.6,87.7,128.8,218.9,19.4,,,,,,,,,
22 April 2011,115.77,0.792,146.17,116.3,2.8,21.5,21.9,140.5,165.2,24.2,108.5,2.4,28.6,87.7,128.8,218.9,20.3,,,,,,,,,
29 April 2011,118.70,0.803,147.73,115.5,2.8,21.4,21.8,139.3,163.9,23.9,111.8,2.4,28.6,87.7,128.8,218.9,17.0,,,,,,,,,
6 May 2011,112.01,0.798,140.34,111.9,2.8,21.4,21.8,139.3,163.9,27.4,111.6,2.4,28.7,87.8,129.9,220.2,18.3,,,,,,,,,
13 May 2011,108.06,0.792,136.38,107.1,2.8,20.8,21.2,135.6,159.6,28.6,107.2,2.4,28.4,87.5,127.7,217.6,20.5,,,,,,,,,
20 May 2011,106.61,0.786,135.56,106.1,2.8,20.3,20.7,132.3,155.8,26.1,101.0,2.4,27.9,87.0,124.3,213.8,23.3,,,,,,,,,
27 May 2011,107.59,0.798,134.90,104.7,2.8,19.7,20.0,127.9,150.8,23.2,100.6,2.4,27.2,86.4,120.0,208.8,19.3,,,,,,,,,
3 June 2011,109.15,0.819,133.34,104.9,2.8,19.3,19.7,125.4,147.9,20.6,99.2,2.4,26.9,86.0,117.5,205.9,18.3,,,,,,,,,
10 June 2011,110.60,0.821,134.73,105.9,2.8,19.3,19.7,125.4,147.9,19.5,100.2,2.4,26.9,86.0,117.5,205.9,17.3,,,,,,,,,
17 June 2011,110.42,0.814,135.73,106.5,2.8,19.5,19.8,126.5,149.2,20.0,99.9,2.4,27.0,86.1,118.2,206.8,18.3,,,,,,,,,
24 June 2011,104.95,0.812,129.18,101.9,2.8,19.7,20.1,128.0,150.9,26.2,97.8,2.4,27.1,86.2,119.2,207.9,21.4,,,,,,,,,
1 July 2011,104.94,0.815,128.79,100.1,2.8,19.2,19.6,124.9,147.3,24.9,96.7,2.4,26.9,86.1,118.0,206.5,21.3,,,,,,,,,
8 July 2011,108.69,0.829,131.08,101.6,2.7,19.0,19.4,123.8,145.9,22.1,101.1,2.4,26.9,86.0,117.6,205.9,16.4,,,,,,,,,
15 July 2011,111.22,0.834,133.35,103.9,2.6,19.3,19.6,125.4,147.6,21.5,101.1,2.2,27.1,86.2,119.2,207.6,18.1,,,,,,,,,
22 July 2011,111.87,0.854,131.01,102.3,2.5,19.4,19.8,126.7,149.0,24.4,97.5,2.2,27.3,86.4,120.5,209.0,22.9,,,,,,,,,
29 July 2011,111.73,0.868,128.66,100.7,2.5,19.2,19.5,124.8,146.9,24.1,97.3,2.2,27.0,86.1,118.6,206.9,21.2,,,,,,,,,
5 August 2011,107.15,0.863,124.17,99.8,2.5,19.0,19.4,124.1,146.0,24.3,96.2,2.2,27.0,86.1,118.6,206.9,22.4,,,,,,,,,
12 August 2011,100.82,0.827,121.96,98.6,2.5,18.7,19.0,121.5,143.0,22.8,95.7,2.2,26.6,85.7,115.7,203.6,20.0,,,,,,,,,
19 August 2011,103.99,0.832,124.97,99.3,2.5,18.5,18.9,120.4,141.8,21.1,98.3,2.2,26.2,85.3,113.2,200.8,15.0,,,,,,,,,
26 August 2011,105.40,0.827,127.49,100.1,2.5,18.8,19.1,122.2,143.9,22.1,99.2,2.2,26.5,85.6,115.1,202.9,15.9,,,,,,,,,
2 September 2011,109.73,0.849,129.22,100.3,2.5,18.8,19.1,122.2,143.9,21.9,101.1,2.2,26.8,85.9,117.1,205.2,16.0,,,,,,,,,
9 September 2011,108.53,0.833,130.26,101.7,2.5,18.9,19.2,122.8,144.6,21.1,101.9,2.2,27.0,86.1,118.6,206.9,16.7,,,,,,,,,
16 September 2011,107.34,0.822,130.60,101.2,2.5,19.0,19.4,123.8,145.8,22.6,100.8,2.2,27.2,86.3,119.7,208.2,19.0,,,,,,,,,
23 September 2011,105.68,0.810,130.50,101.7,2.5,19.2,19.5,124.8,146.9,23.2,101.3,2.2,27.4,86.5,121.2,209.9,19.9,,,,,,,,,
30 September 2011,102.39,0.777,131.76,103.1,2.5,19.2,19.5,124.8,146.9,21.7,102.2,2.2,27.4,86.5,121.2,209.9,19.0,,,,,,,,,
7 October 2011,98.82,0.762,129.62,103.3,2.5,19.2,19.5,124.8,146.9,21.6,103.8,2.2,27.4,86.5,121.2,209.9,17.4,,,,,,,,,
14 October 2011,104.92,0.785,133.73,102.9,2.2,19.2,19.5,125.2,146.9,22.3,105.4,1.9,27.4,86.5,121.5,209.9,16.1,,,,,,,,,
21 October 2011,106.57,0.796,133.91,104.4,2.1,19.2,19.5,125.3,146.9,20.9,102.8,1.8,27.4,86.5,121.6,209.9,18.8,,,,,,,,,
28 October 2011,107.55,0.806,133.44,105.5,2.1,19.2,19.5,125.3,146.9,19.8,99.8,1.8,27.4,86.5,121.6,209.9,21.8,,,,,,,,,
4 November 2011,105.91,0.801,132.19,105.8,2.1,19.2,19.5,125.3,146.9,19.5,96.5,1.8,27.3,86.5,121.2,209.5,24.7,,,,,,,,,
11 November 2011,111.07,0.790,140.59,111.4,2.1,19.3,19.6,125.9,147.6,14.5,99.1,1.8,27.0,86.1,119.0,206.9,19.9,,,,,,,,,
18 November 2011,109.89,0.774,142.05,113.8,2.1,20.0,20.4,130.9,153.3,17.1,96.4,1.8,27.0,86.1,119.0,206.9,22.6,,,,,,,,,
25 November 2011,107.02,0.747,143.32,113.8,2.1,20.8,21.1,136.0,159.2,22.1,97.4,1.8,27.0,86.1,119.0,206.9,21.6,,,,,,,,,
2 December 2011,108.53,0.765,141.92,111.4,2.1,21.0,21.4,137.5,160.9,26.1,97.2,1.8,27.0,86.1,119.0,206.9,21.8,,,,,,,,,
9 December 2011,108.26,0.778,139.09,109.7,2.1,20.7,21.1,135.6,158.8,26.0,97.0,1.8,27.0,86.1,119.0,206.9,22.0,,,,,,,,,
16 December 2011,104.88,0.760,138.04,109.1,2.1,20.6,21.0,134.9,157.9,25.7,99.6,1.8,27.0,86.1,119.0,206.9,19.4,,,,,,,,,
23 December 2011,105.02,0.766,137.03,107.2,1.5,20.6,21.0,135.4,157.9,28.3,98.5,1.3,27.0,86.1,119.5,206.9,21.0,,,,,,,,,
30 December 2011,104.95,0.771,136.11,107.2,1.3,20.6,21.0,135.6,157.9,28.4,100.2,1.2,27.0,86.1,119.6,206.9,19.4,,,,,,,,,
6 January 2012,108.89,0.786,138.49,109.4,1.3,20.6,21.0,135.6,157.9,26.2,103.3,1.2,27.0,86.1,119.6,206.9,16.3,,,,,,,,,
13 January 2012,110.25,0.791,139.46,110.4,1.3,20.6,21.0,135.6,157.9,25.2,103.6,1.2,27.3,86.4,121.5,209.0,17.9,,,,,,,,,
20 January 2012,109.42,0.799,137.03,108.4,1.3,20.6,21.0,135.6,157.9,27.2,103.0,1.2,27.6,86.8,124.0,211.9,20.9,,,,,,,,,
27 January 2012,109.05,0.813,134.07,105.3,1.3,20.4,20.8,134.4,156.5,29.1,101.8,1.2,27.6,86.8,124.0,211.9,22.2,,,,,,,,,
3 February 2012,109.82,0.827,132.82,104.6,1.3,19.7,20.1,129.8,151.2,25.2,101.0,1.2,27.6,86.7,123.6,211.5,22.6,,,,,,,,,
10 February 2012,114.19,0.835,136.81,106.6,1.3,19.6,19.9,128.6,149.9,22.0,102.1,1.2,27.2,86.4,121.4,208.9,19.3,,,,,,,,,
17 February 2012,116.44,0.832,139.87,107.4,1.3,19.7,20.0,129.4,150.8,22.0,104.3,1.2,27.4,86.5,122.4,210.0,18.1,,,,,,,,,
24 February 2012,119.72,0.836,143.26,108.3,1.3,19.9,20.3,131.2,152.9,22.9,105.5,1.2,27.8,86.9,124.8,212.9,19.4,,,,,,,,,
2 March 2012,120.85,0.838,144.27,108.4,1.3,20.1,20.4,132.0,153.8,23.6,106.2,1.2,28.0,87.1,126.3,214.6,20.1,,,,,,,,,
9 March 2012,122.63,0.821,149.38,111.2,1.3,20.2,20.6,133.0,154.9,21.8,108.6,1.2,28.3,87.4,128.3,216.9,19.8,,,,,,,,,
16 March 2012,123.75,0.818,151.27,113.0,1.3,20.3,20.7,133.7,155.8,20.7,111.1,1.2,28.5,87.6,129.4,218.2,18.3,,,,,,,,,
23 March 2012,123.00,0.818,150.34,112.6,1.3,20.5,20.8,134.7,156.9,22.1,110.3,1.2,28.7,87.8,130.9,219.9,20.6,,,,,,,,,
30 March 2012,121.61,0.819,148.40,112.3,1.3,20.5,20.8,134.7,156.9,22.4,110.7,1.2,28.7,87.8,130.9,219.9,20.2,,,,,,,,,
6 April 2012,121.08,0.820,147.62,111.7,1.3,20.5,20.8,134.7,156.9,23.1,111.8,1.2,28.7,87.8,130.9,219.9,19.1,,,,,,,,,
13 April 2012,118.01,0.821,143.75,109.0,1.3,20.5,20.8,134.7,156.9,25.7,108.5,1.2,28.7,87.8,130.9,219.9,22.5,,,,,,,,,
20 April 2012,114.84,0.819,140.18,108.2,1.3,20.5,20.8,134.7,156.9,26.5,107.2,1.2,28.7,87.8,130.9,219.9,23.8,,,,,,,,,
27 April 2012,114.78,0.815,140.90,109.1,1.3,20.5,20.8,134.7,156.9,25.6,107.6,1.2,28.7,87.8,130.9,219.9,23.3,,,,,,,,,
4 May 2012,113.48,0.813,139.60,108.8,1.3,20.5,20.8,134.7,156.9,26.0,106.5,1.2,28.7,87.8,130.9,219.9,24.4,,,,,,,,,
11 May 2012,108.79,0.789,137.97,107.1,1.3,20.5,20.8,134.7,156.9,27.6,104.2,1.2,28.7,87.8,130.9,219.9,26.7,,,,,,,,,
18 May 2012,106.94,0.771,138.74,107.2,1.3,20.5,20.8,134.7,156.9,27.5,103.6,1.2,28.7,87.8,130.9,219.9,27.3,,,,,,,,,
25 May 2012,104.33,0.756,137.94,107.0,1.3,20.2,20.6,132.9,154.8,25.9,103.1,1.2,28.3,87.4,128.4,217.0,25.4,,,,,,,,,
1 June 2012,101.33,0.757,133.80,104.5,1.3,20.1,20.4,132.1,153.9,27.6,101.9,1.2,28.2,87.3,127.5,215.9,25.6,,,,,,,,,
8 June 2012,97.21,0.763,127.37,98.9,1.3,19.8,20.2,130.1,151.6,31.3,95.3,1.2,27.9,87.0,125.5,213.6,30.2,,,,,,,,,
15 June 2012,96.00,0.776,123.66,97.4,1.3,19.2,19.6,126.3,147.2,28.9,90.9,1.2,27.2,86.4,121.4,208.9,30.5,,,,,,,,,
22 June 2012,92.46,0.794,116.47,93.3,1.3,18.8,19.2,123.8,144.3,30.5,84.1,1.2,26.6,85.7,116.9,203.8,32.8,,,,,,,,,
29 June 2012,91.75,0.789,116.28,92.8,1.3,18.5,18.9,121.6,141.8,28.7,84.4,1.2,25.9,85.0,112.1,198.2,27.7,,,,,,,,,
6 July 2012,96.71,0.803,120.44,96.2,1.3,18.4,18.8,121.1,141.2,24.8,88.6,1.2,25.7,84.9,111.3,197.3,22.7,,,,,,,,,
13 July 2012,97.25,0.795,122.39,98.6,1.3,18.6,19.0,122.6,142.9,24.0,91.7,1.2,26.1,85.2,113.5,199.9,21.9,,,,,,,,,
20 July 2012,102.16,0.799,127.87,101.7,1.3,19.0,19.4,125.0,145.8,23.4,96.3,1.2,26.4,85.6,116.0,202.8,19.7,,,,,,,,,
27 July 2012,100.92,0.792,127.47,102.2,1.3,19.5,19.9,128.5,149.8,26.3,97.4,1.2,27.0,86.2,119.9,207.2,22.5,,,,,,,,,
3 August 2012,102.53,0.809,126.71,101.1,1.1,19.7,20.1,129.7,150.9,28.7,98.4,0.9,27.6,88.7,122.1,211.8,23.7,,,,,,,,,
10 August 2012,106.90,0.816,131.08,104.1,0.9,19.7,20.1,130.3,151.3,26.2,102.8,0.8,27.8,88.9,123.7,213.5,21.0,,,,,,,,,
17 August 2012,109.96,0.809,135.92,108.0,0.9,20.1,20.4,132.5,153.9,24.5,106.1,0.8,28.5,89.6,127.8,218.2,21.8,,,,,,,,,
24 August 2012,112.36,0.811,138.61,109.5,0.9,20.2,20.6,133.3,154.8,23.8,104.4,0.8,28.8,89.9,130.0,220.8,25.6,,,,,,,,,
31 August 2012,110.23,0.805,136.98,110.0,0.9,20.5,20.8,135.1,156.9,25.1,102.2,0.8,29.0,90.1,131.5,222.5,29.4,,,,,,,,,
7 September 2012,112.11,0.798,140.51,111.3,0.9,20.5,20.8,135.1,156.9,23.8,101.9,0.8,28.7,89.8,129.3,219.9,27.4,,,,,,,,,
14 September 2012,113.61,0.818,138.90,109.1,0.9,20.5,20.8,135.1,156.9,26.0,103.0,0.8,28.7,89.8,129.3,219.9,26.3,,,,,,,,,
21 September 2012,109.31,0.828,131.94,106.1,0.9,20.5,20.8,135.1,156.9,29.0,99.5,0.8,28.6,89.7,128.6,219.0,29.1,,,,,,,,,
28 September 2012,108.16,0.825,131.06,105.0,0.9,20.3,20.7,133.9,155.5,28.9,100.2,0.8,28.1,89.2,125.7,215.8,25.5,,,,,,,,,
5 October 2012,107.86,0.825,130.78,105.6,0.9,20.2,20.6,133.4,154.9,27.8,100.3,0.8,28.0,89.1,125.0,214.9,24.7,,,,,,,,,
12 October 2012,110.40,0.818,135.02,108.1,0.9,20.2,20.6,133.4,154.9,25.2,104.0,0.8,28.1,89.2,125.7,215.8,21.7,,,,,,,,,
19 October 2012,109.91,0.818,134.34,108.1,0.9,20.2,20.6,133.4,154.9,25.3,101.6,0.8,28.4,89.5,127.6,217.9,26.0,,,,,,,,,
26 October 2012,106.27,0.817,130.03,104.4,0.9,20.1,20.5,133.0,154.5,28.6,95.2,0.8,28.1,89.2,125.7,215.8,30.5,,,,,,,,,
2 November 2012,106.04,0.822,128.94,103.8,0.9,19.8,20.2,130.8,151.9,27.0,93.6,0.8,27.6,88.7,122.3,211.9,28.7,,,,,,,,,
9 November 2012,105.24,0.822,127.99,101.9,0.9,19.8,20.2,130.8,151.9,28.8,93.3,0.8,27.4,88.5,120.5,209.8,27.2,,,,,,,,,
